date,binary_mean,binary_squared_mean,binary_sqrt_mean,prob_mean,prob_squared_mean,prob_sqrt_mean
10/30/2020,0.287,0.42,0.254,0.184,0.2,0.194
10/31/2020,0.453,0.697,0.27,0.207,0.334,0.109
11/1/2020,0.323,0.385,0.284,0.312,0.372,0.274
11/2/2020,0.213,0.183,0.22,0.085,0.078,0.096
11/3/2020,0.777,0.925,0.62,0.571,0.701,0.448
11/4/2020,0.326,0.029,0.415,0.297,0.195,0.323
11/5/2020,0.014,-0.061,0.051,0.159,0.123,0.171
11/6/2020,0.536,0.543,0.499,0.563,0.586,0.524
11/7/2020,0.937,0.974,0.91,0.593,0.614,0.581
11/8/2020,0.205,0.271,0.195,0.363,0.394,0.354
11/9/2020,0.426,0.471,0.398,0.167,0.221,0.14
11/10/2020,0.174,0.24,0.125,0.207,0.257,0.169
11/11/2020,0.116,0.058,0.124,0.136,0.135,0.124
11/12/2020,-0.151,-0.156,-0.138,-0.052,-0.064,-0.038
11/13/2020,0.597,0.666,0.579,0.597,0.685,0.551
11/14/2020,0.286,0.516,0.149,0.251,0.433,0.136
