date,binary_mean,binary_squared_mean,binary_sqrt_mean,prob_mean,prob_squared_mean,prob_sqrt_mean
10/31/2020,0.777,0.963,0.563,0.33,0.595,0.158
11/1/2020,0.237,0.561,0.117,0.222,0.422,0.139
11/2/2020,0.076,0.499,-0.141,0.062,0.325,-0.068
11/3/2020,0.505,0.552,0.459,-0.113,-0.129,-0.106
11/4/2020,0.277,0.527,0.138,0.379,0.523,0.294
11/5/2020,0.475,0.761,0.315,0.293,0.589,0.126
11/6/2020,-0.2,0.243,-0.352,-0.124,0.206,-0.232
11/7/2020,0.304,0.756,0.007,0.122,0.391,-0.046
11/8/2020,0.881,0.983,0.754,0.503,0.743,0.304
11/9/2020,-0.65,-0.58,-0.656,-0.254,-0.154,-0.299
11/10/2020,0.989,0.994,0.981,0.558,0.561,0.554
11/11/2020,-0.095,0.066,-0.22,0.169,0.333,0.044
11/12/2020,-0.189,0.204,-0.305,-0.204,-0.0,-0.251
11/13/2020,0.039,-0.041,0.14,0.13,0.172,0.139
11/14/2020,0.0,0.0,0.0,0.0,0.0,0.0
