date,sentiment_mean,sentiment_squared_mean,sentiment_sqrt_mean,sentiment_with_prob
8/18/2020,-0.049,-0.11,-0.063,[-10.85   6.85]
8/19/2020,-0.155,0.024,-0.242,[-17.789   3.789]
8/20/2020,-0.394,-0.107,-0.481,[-15.091  -0.909]
8/21/2020,-0.423,-0.383,-0.453,[-12.906  -1.094]
8/22/2020,-0.353,-0.462,-0.31,[-18.22   6.22]
8/23/2020,0.091,0.096,0.052,[-6.228  6.228]
8/24/2020,-0.045,-0.058,-0.03,[-3.773  3.773]
8/25/2020,0.053,0.094,0.016,[-8.413  7.413]
8/26/2020,-0.306,-0.304,-0.337,[-16.176   2.176]
8/27/2020,-0.568,-0.57,-0.578,[-17.633  -0.367]
8/28/2020,-0.743,-0.716,-0.749,[-26.488  -2.512]
8/29/2020,-0.623,-0.591,-0.652,[-51.388  -5.612]
8/30/2020,-0.922,-0.919,-0.931,[-23.203 -10.797]
8/31/2020,-0.331,-0.4,-0.316,[-14.179   2.179]
9/1/2020,-0.64,-0.59,-0.659,[-24.095  -3.905]
9/2/2020,-0.509,-0.469,-0.513,[-16.901   0.901]
9/3/2020,-0.549,-0.353,-0.601,[-24.657  -1.343]
9/4/2020,-0.664,-0.702,-0.606,[-25.999  -1.001]
9/5/2020,-0.636,-0.697,-0.617,[-17.446  -4.554]
9/6/2020,-0.053,0.045,-0.127,[-12.965   4.965]
9/7/2020,-0.673,-0.695,-0.629,[-10.397  -1.603]
9/8/2020,0.15,0.24,0.099,[-7.963  9.963]
9/9/2020,-0.373,-0.339,-0.445,[-9.975 -0.025]
9/10/2020,-0.255,-0.346,-0.224,[-11.828   4.828]
9/11/2020,-0.227,-0.072,-0.272,[-11.5   3.5]
9/12/2020,-0.157,-0.213,-0.132,[-5.587  3.587]
9/13/2020,-0.001,0.219,-0.076,[-6.324  4.324]
9/14/2020,-0.448,-0.547,-0.393,[-3.622  0.622]
9/15/2020,-0.464,-0.545,-0.434,[-9.584  0.584]
9/16/2020,-0.437,-0.455,-0.428,[-11.383   1.383]
9/17/2020,-0.356,-0.342,-0.38,[-15.179   0.179]
9/18/2020,-0.573,-0.495,-0.605,[-5.869 -1.131]
9/19/2020,-1.0,-1.0,-1.0,[-4.301 -1.699]
9/20/2020,-0.38,-0.481,-0.319,[-2.844  0.844]
9/21/2020,0.178,0.217,0.179,[-1.55  3.55]
9/22/2020,-0.333,-0.485,-0.248,[-3.35  1.35]
9/23/2020,-0.378,-0.18,-0.435,[-5.944 -1.056]
9/24/2020,0.467,0.581,0.372,[-1.36  4.36]
9/25/2020,-0.891,-0.966,-0.818,[-5.01  0.01]
9/26/2020,-0.026,-0.197,0.078,[-3.673  7.673]
9/27/2020,-0.687,-0.694,-0.696,[-3.753 -1.247]
9/28/2020,-0.545,-0.554,-0.537,[-9.581 -1.419]
9/29/2020,-0.2,-0.036,-0.225,[-6.285  2.285]
9/30/2020,0.203,0.308,0.142,[-1.963  2.963]
10/1/2020,-0.49,-0.324,-0.568,[-15.83  -1.17]
10/2/2020,-0.922,-0.978,-0.875,[-7.38 -1.62]
10/3/2020,-0.063,0.046,-0.134,[-2.763  1.763]
10/4/2020,-0.036,0.067,-0.042,[-2.895  1.895]
10/5/2020,-0.576,-0.683,-0.516,[-10.405   1.405]
10/6/2020,-0.285,-0.345,-0.257,[-9.127  5.127]
10/7/2020,-0.531,-0.459,-0.597,[-12.388   0.388]
