date,binary_mean,binary_squared_mean,binary_sqrt_mean,prob_mean,prob_squared_mean,prob_sqrt_mean
8/2/2020,0.009,0.087,-0.011,0.04,0.152,-0.012
8/3/2020,-0.473,-0.752,-0.257,-0.031,-0.145,0.056
8/4/2020,0.784,0.918,0.664,0.373,0.479,0.287
8/5/2020,-0.154,0.149,-0.325,-0.065,0.077,-0.154
8/6/2020,-0.153,-0.051,-0.198,-0.141,-0.115,-0.152
8/7/2020,-0.22,-0.216,-0.227,-0.068,-0.09,-0.065
8/8/2020,0.464,0.732,0.308,0.082,0.251,-0.005
8/9/2020,0.579,0.793,0.486,0.254,0.285,0.244
8/10/2020,-0.62,-0.662,-0.597,-0.222,-0.233,-0.215
8/11/2020,-0.095,-0.026,-0.149,0.115,0.206,0.056
8/12/2020,0.833,0.964,0.672,0.344,0.423,0.263
8/13/2020,-0.322,-0.393,-0.196,-0.027,-0.022,-0.002
8/14/2020,1.0,1.0,1.0,0.554,0.552,0.545
8/15/2020,0.797,0.929,0.674,0.367,0.45,0.303
8/16/2020,0.821,0.89,0.774,0.411,0.436,0.396
8/17/2020,-0.311,-0.145,-0.404,-0.053,0.092,-0.139
8/18/2020,0.1,-0.037,0.178,0.097,0.029,0.149
8/19/2020,0.312,0.004,0.462,0.153,0.043,0.193
8/20/2020,0.263,0.241,0.283,0.094,0.128,0.083
8/21/2020,-0.113,0.251,-0.226,0.013,0.208,-0.069
8/22/2020,0.528,0.737,0.423,-0.047,-0.016,-0.065
8/23/2020,-0.596,-0.716,-0.543,-0.353,-0.489,-0.294
8/24/2020,-1.0,-1.0,-0.999,-0.553,-0.553,-0.552
8/25/2020,-0.468,-0.622,-0.415,-0.336,-0.463,-0.293
8/26/2020,0.482,0.762,0.264,0.168,0.314,0.044
8/27/2020,0.032,-0.224,0.114,-0.003,-0.212,0.062
8/28/2020,-0.467,-0.749,-0.296,-0.393,-0.542,-0.277
8/29/2020,0.832,0.962,0.692,0.779,0.918,0.65
8/30/2020,0.081,0.184,0.037,0.294,0.36,0.266
8/31/2020,0.726,0.885,0.596,0.515,0.689,0.391
9/1/2020,-0.006,-0.056,-0.022,0.046,-0.021,0.058
9/2/2020,0.348,0.665,0.13,0.076,0.186,-0.002
9/3/2020,0.434,0.694,0.317,0.344,0.489,0.288
9/4/2020,0.099,0.012,0.224,-0.183,-0.214,-0.125
9/5/2020,-0.4,-0.614,-0.329,-0.053,-0.201,-0.01
9/6/2020,0.35,0.62,0.182,0.258,0.37,0.184
9/7/2020,-0.075,-0.147,-0.033,0.151,0.085,0.188
9/8/2020,0.431,0.496,0.422,0.165,0.145,0.182
9/9/2020,-0.375,-0.478,-0.344,-0.225,-0.266,-0.211
9/10/2020,-0.198,-0.271,-0.166,-0.016,-0.082,0.014
9/11/2020,0.376,0.431,0.352,-0.07,-0.072,-0.043
9/12/2020,-0.051,-0.063,-0.027,-0.136,-0.144,-0.123
9/13/2020,0.435,0.419,0.446,0.275,0.253,0.286
9/14/2020,-0.411,-0.582,-0.306,-0.273,-0.344,-0.249
9/15/2020,1.0,1.0,1.0,0.61,0.613,0.614
9/16/2020,0.164,0.227,0.163,0.239,0.302,0.219
9/17/2020,0.624,0.612,0.641,0.115,0.12,0.113
9/18/2020,0.364,0.395,0.372,0.155,0.155,0.167
9/19/2020,1.0,1.0,0.999,0.4,0.418,0.39
9/20/2020,0.464,0.764,0.246,0.327,0.423,0.256
9/21/2020,0.353,0.468,0.26,0.244,0.309,0.186
9/22/2020,-0.005,0.004,0.04,0.094,0.124,0.09
9/23/2020,-0.232,-0.177,-0.268,-0.034,0.023,-0.072
9/24/2020,0.066,0.355,-0.09,-0.142,-0.006,-0.213
9/25/2020,-0.111,-0.359,0.007,0.003,-0.119,0.06
9/26/2020,0.036,0.218,-0.039,0.08,0.167,0.042
9/28/2020,0.185,0.503,0.017,0.243,0.4,0.161
9/30/2020,0.576,0.866,0.372,0.262,0.258,0.263
10/1/2020,0.566,0.7,0.456,0.228,0.287,0.18
10/2/2020,0.02,0.052,0.025,-0.008,0.01,-0.011
10/3/2020,0.706,0.848,0.589,0.492,0.559,0.443
10/4/2020,0.423,0.461,0.382,0.569,0.618,0.529
10/5/2020,1.0,1.0,0.999,0.46,0.49,0.444
10/6/2020,-0.014,-0.033,-0.002,0.029,0.007,0.036
10/7/2020,-0.399,-0.566,-0.299,0.016,-0.061,0.064
10/8/2020,0.585,0.635,0.581,0.249,0.254,0.251
10/9/2020,1.0,1.0,1.0,0.562,0.601,0.516
10/10/2020,0.27,0.431,0.211,0.248,0.393,0.165
10/11/2020,-0.312,-0.313,-0.32,-0.059,-0.026,-0.082
10/12/2020,0.637,0.821,0.5,0.373,0.461,0.307
10/13/2020,0.031,0.021,0.042,0.026,0.021,0.034
10/14/2020,0.301,0.448,0.219,0.102,0.188,0.055
